antecedent,consequent,support,confidence,lift
htn=1,class=ckd,0.39,1.0,1.5625
htn=1 AND pot=< 7.31,class=ckd,0.38,1.0,1.5625
ba=0 AND htn=1,class=ckd,0.36,1.0,1.5625
dm=1,class=ckd,0.35,1.0,1.5625
dm=1 AND pot=< 7.31,class=ckd,0.345,1.0,1.5625
ba=0 AND dm=1,class=ckd,0.325,1.0,1.5625
htn=1 AND pcc=0,class=ckd,0.3,1.0,1.5625
htn=1 AND rbc=0,class=ckd,0.3,1.0,1.5625
cad=0 AND htn=1,class=ckd,0.295,1.0,1.5625
dm=1 AND rbc=0,class=ckd,0.285,1.0,1.5625
htn=1 AND su=< 0,class=ckd,0.285,1.0,1.5625
dm=1 AND htn=1,class=ckd,0.28,1.0,1.5625
ane=0 AND htn=1,class=ckd,0.275,1.0,1.5625
cad=0 AND dm=1,class=ckd,0.27,1.0,1.5625
dm=1 AND pcc=0,class=ckd,0.27,1.0,1.5625
htn=1 AND pe=0,class=ckd,0.27,1.0,1.5625
appet=0 AND htn=1,class=ckd,0.26,1.0,1.5625
ane=0 AND dm=1,class=ckd,0.255,1.0,1.5625
dm=1 AND pe=0,class=ckd,0.24,1.0,1.5625
htn=1 AND pc=0,class=ckd,0.235,1.0,1.5625
bp limit=2,class=ckd,0.23,1.0,1.5625
appet=0 AND dm=1,class=ckd,0.23,1.0,1.5625
bp (Diastolic)=1 AND bp limit=2,class=ckd,0.23,1.0,1.5625
bp (Diastolic)=1 AND htn=1,class=ckd,0.23,1.0,1.5625
dm=1 AND sc=< 3.65,class=ckd,0.23,1.0,1.5625
pc=1,class=ckd,0.225,1.0,1.5625
sg=1.009 - 1.011,class=ckd,0.225,1.0,1.5625
bp limit=2 AND pot=< 7.31,class=ckd,0.225,1.0,1.5625
dm=1 AND pc=0,class=ckd,0.225,1.0,1.5625
htn=1 AND sc=< 3.65,class=ckd,0.225,1.0,1.5625
dm=1 AND su=< 0,class=ckd,0.22,1.0,1.5625
pot=< 7.31 AND sg=1.009 - 1.011,class=ckd,0.215,1.0,1.5625
pc=1 AND pot=< 7.31,class=ckd,0.21,1.0,1.5625
bp limit=2 AND cad=0,class=ckd,0.205,1.0,1.5625
appet=1,class=ckd,0.2,1.0,1.5625
appet=1 AND pot=< 7.31,class=ckd,0.195,1.0,1.5625
ba=0 AND sg=1.009 - 1.011,class=ckd,0.195,1.0,1.5625
htn=1 AND sod=133 - 138,class=ckd,0.195,1.0,1.5625
ba=0 AND bp limit=2,class=ckd,0.19,1.0,1.5625
bp (Diastolic)=1 AND dm=1,class=ckd,0.19,1.0,1.5625
cad=0 AND sg=1.009 - 1.011,class=ckd,0.19,1.0,1.5625
cad=0 AND pc=1,class=ckd,0.185,1.0,1.5625
dm=1 AND sod=133 - 138,class=ckd,0.185,1.0,1.5625
sg=1.015 - 1.017,class=ckd,0.18,1.0,1.5625
ane=0 AND sg=1.009 - 1.011,class=ckd,0.18,1.0,1.5625
ba=0 AND pc=1,class=ckd,0.18,1.0,1.5625
rbc=0 AND sg=1.009 - 1.011,class=ckd,0.18,1.0,1.5625
pe=1,class=ckd,0.175,1.0,1.5625
appet=1 AND ba=0,class=ckd,0.175,1.0,1.5625
bp limit=2 AND pcc=0,class=ckd,0.175,1.0,1.5625
bp limit=2 AND pe=0,class=ckd,0.175,1.0,1.5625
dm=1 AND rbcc=4.46 - 5.05,class=ckd,0.175,1.0,1.5625
dm=1 AND wbcc=7360 - 9740,class=ckd,0.175,1.0,1.5625
pe=0 AND sg=1.009 - 1.011,class=ckd,0.175,1.0,1.5625
pot=< 7.31 AND sg=1.015 - 1.017,class=ckd,0.175,1.0,1.5625
appet=0 AND sg=1.009 - 1.011,class=ckd,0.17,1.0,1.5625
bp limit=0 AND htn=1,class=ckd,0.17,1.0,1.5625
htn=1 AND wbcc=7360 - 9740,class=ckd,0.17,1.0,1.5625
pc=1 AND su=< 0,class=ckd,0.17,1.0,1.5625
pcc=0 AND sg=1.009 - 1.011,class=ckd,0.17,1.0,1.5625
sc=< 3.65 AND sg=1.009 - 1.011,class=ckd,0.17,1.0,1.5625
bp limit=0 AND dm=1,class=ckd,0.165,1.0,1.5625
bp limit=2 AND su=< 0,class=ckd,0.165,1.0,1.5625
htn=1 AND rbcc=4.46 - 5.05,class=ckd,0.165,1.0,1.5625
pe=1 AND pot=< 7.31,class=ckd,0.165,1.0,1.5625
ane=1,class=ckd,0.16,1.0,1.5625
appet=1 AND cad=0,class=ckd,0.16,1.0,1.5625
appet=1 AND su=< 0,class=ckd,0.16,1.0,1.5625
ba=0 AND pe=1,class=ckd,0.16,1.0,1.5625
ba=0 AND sg=1.015 - 1.017,class=ckd,0.16,1.0,1.5625
bp (Diastolic)=0 AND dm=1,class=ckd,0.16,1.0,1.5625
bp (Diastolic)=0 AND htn=1,class=ckd,0.16,1.0,1.5625
sg=1.009 - 1.011 AND su=< 0,class=ckd,0.16,1.0,1.5625
htn=1 AND pc=1,class=ckd,0.155,1.0,1.5625
ane=1 AND pot=< 7.31,class=ckd,0.15,1.0,1.5625
appet=1 AND rbc=0,class=ckd,0.15,1.0,1.5625
bp limit=2 AND rbc=0,class=ckd,0.15,1.0,1.5625
ane=1 AND ba=0,class=ckd,0.145,1.0,1.5625
appet=1 AND pcc=0,class=ckd,0.145,1.0,1.5625
bp limit=2 AND htn=1,class=ckd,0.145,1.0,1.5625
bp limit=2 AND sc=< 3.65,class=ckd,0.145,1.0,1.5625
cad=0 AND sg=1.015 - 1.017,class=ckd,0.145,1.0,1.5625
pc=1 AND rbc=0,class=ckd,0.145,1.0,1.5625
sg=1.009 - 1.011 AND sod=133 - 138,class=ckd,0.145,1.0,1.5625
hemo=10 - 11.3,class=ckd,0.14,1.0,1.5625
age=59 - 66 AND htn=1,class=ckd,0.14,1.0,1.5625
appet=0 AND bp limit=2,class=ckd,0.14,1.0,1.5625
bp (Diastolic)=1 AND pc=1,class=ckd,0.14,1.0,1.5625
bu=48.1 - 86.2 AND htn=1,class=ckd,0.14,1.0,1.5625
hemo=10 - 11.3 AND pot=< 7.31,class=ckd,0.14,1.0,1.5625
pc=0 AND sg=1.009 - 1.011,class=ckd,0.14,1.0,1.5625
pcc=0 AND pe=1,class=ckd,0.14,1.0,1.5625
rbc=0 AND sg=1.015 - 1.017,class=ckd,0.14,1.0,1.5625
al=2 - 2,class=ckd,0.135,1.0,1.5625
pcc=1,class=ckd,0.135,1.0,1.5625
al=2 - 2 AND pot=< 7.31,class=ckd,0.135,1.0,1.5625
ane=0 AND bp limit=2,class=ckd,0.135,1.0,1.5625
cad=0 AND pe=1,class=ckd,0.135,1.0,1.5625
pcc=1 AND pot=< 7.31,class=ckd,0.135,1.0,1.5625
pe=1 AND su=< 0,class=ckd,0.135,1.0,1.5625
ane=0 AND appet=1,class=ckd,0.13,1.0,1.5625
ane=0 AND pc=1,class=ckd,0.13,1.0,1.5625
ane=0 AND sg=1.015 - 1.017,class=ckd,0.13,1.0,1.5625
ane=1 AND cad=0,class=ckd,0.13,1.0,1.5625
ane=1 AND su=< 0,class=ckd,0.13,1.0,1.5625
