original_feature,importance
hemo_mid,0.14493302047488754
htn,0.10042996330956828
pcv_mid,0.09747313445039511
al_mid,0.06761059453839557
al,0.0651552691382473
sg_mid,0.06317269332761666
dm,0.06273472653731231
rbcc_mid,0.056249799678032626
sg,0.034229727487839735
hemo,0.03346104616993831
bu,0.02895475245577978
pcv,0.0268610132024573
sod_mid,0.021957348403694066
bu_mid,0.021246537953322805
bp limit,0.019248421472853258
pc,0.018199420057902142
rbcc,0.016812065996798613
appet,0.013688241350807121
age,0.011594571292578475
bgr_mid,0.011365333948395307
sod,0.010427205232819692
pe,0.009667191024047148
sc,0.009483151969207003
age_mid,0.009424733382846317
sc_mid,0.00770955975779919
su,0.005945436982155958
ane,0.005668334452596192
bgr,0.005225237916740682
cad,0.003967505342087197
su_mid,0.003954748323115614
wbcc,0.003882844849734612
rbc,0.002573812519856436
bp (Diastolic),0.0025023697534776084
pcc,0.0019718589634369135
wbcc_mid,0.00177857641506249
ba,0.0004397518681944408
pot_mid,0.0
pot,0.0
